measured_on,poa_irradiance_o_149574
2024-03-04 23:05:00,0.0
2024-03-04 23:10:00,0.0
2024-03-04 23:15:00,0.0
2024-03-04 23:20:00,0.0
2024-03-04 23:30:00,0.0
2024-03-04 23:45:00,0.0
2024-03-05 00:00:00,0.0
2024-03-05 00:10:00,0.0
2024-03-05 00:20:00,0.0
2024-03-05 00:35:00,0.0
2024-03-05 00:45:00,0.0
2024-03-05 00:55:00,0.0
2024-03-05 01:10:00,0.0
2024-03-05 01:15:00,0.0
2024-03-05 01:20:00,0.0
2024-03-05 01:40:00,0.0
2024-03-05 01:55:00,0.0
2024-03-05 02:15:00,0.0
2024-03-05 02:30:00,0.0
2024-03-05 02:45:00,0.0
2024-03-05 02:50:00,0.0
2024-03-05 02:55:00,0.0
2024-03-05 03:00:00,0.0
2024-03-05 03:05:00,0.0
2024-03-05 03:10:00,0.0
2024-03-05 03:15:00,0.0
2024-03-05 03:20:00,0.0
2024-03-05 03:40:00,0.0
2024-03-05 03:45:00,0.0
2024-03-05 03:50:00,0.0
2024-03-05 03:55:00,0.0
2024-03-05 04:00:00,0.0
2024-03-05 04:10:00,0.0
2024-03-05 04:20:00,0.0
2024-03-05 04:25:00,0.0
2024-03-05 04:35:00,0.0
2024-03-05 04:45:00,0.0
2024-03-05 04:50:00,0.0
2024-03-05 05:05:00,0.0
2024-03-05 05:20:00,0.0
2024-03-05 05:25:00,0.0
2024-03-05 05:40:00,0.0
2024-03-05 05:55:00,0.0
2024-03-05 06:05:00,0.0
2024-03-05 06:10:00,0.0
2024-03-05 06:25:00,0.0
2024-03-05 06:35:00,0.0
2024-03-05 06:40:00,1.6
2024-03-05 06:45:00,3.3
2024-03-05 06:50:00,6.7
2024-03-05 06:55:00,12.3
2024-03-05 07:00:00,19.2
2024-03-05 07:05:00,24.4
2024-03-05 07:10:00,24.1
2024-03-05 07:15:00,22.2
2024-03-05 07:20:00,32.0
2024-03-05 07:25:00,42.6
2024-03-05 07:30:00,53.7
2024-03-05 07:35:00,53.0
2024-03-05 07:40:00,60.3
2024-03-05 07:45:00,61.7
2024-03-05 07:50:00,58.9
2024-03-05 07:55:00,59.0
2024-03-05 08:00:00,72.5
2024-03-05 08:05:00,80.4
2024-03-05 08:10:00,78.79999999999998
2024-03-05 08:15:00,88.0
2024-03-05 08:20:00,106.1
2024-03-05 08:25:00,126.1
2024-03-05 08:30:00,140.7
2024-03-05 08:35:00,156.3
2024-03-05 08:40:00,170.7
2024-03-05 08:45:00,175.6
2024-03-05 08:50:00,185.5
2024-03-05 08:55:00,210.5
2024-03-05 09:00:00,240.2
2024-03-05 09:05:00,232.4
2024-03-05 09:10:00,214.2
2024-03-05 09:15:00,220.0
