event_id,inv_id,timestamp_debut,timestamp_fin,duree_minutes,peak_error,dtw_distance,mean_error,gradient_montee,gradient_descente
112,1,2018-08-22 16:10,2018-08-22 16:35,30,0.1106,0.0,0.0774,0.05,-0.03
113,1,2018-08-27 12:45,2018-08-27 13:10,30,0.6124,0.0,0.4287,0.05,-0.03
114,1,2018-08-27 14:05,2018-08-27 15:50,110,0.5487,0.0,0.3841,0.05,-0.03
115,1,2018-08-28 08:40,2018-08-28 09:15,40,0.2801,0.0,0.1961,0.05,-0.03
116,1,2018-08-28 10:45,2018-08-28 11:00,20,0.4919,0.0,0.3443,0.05,-0.03
117,1,2018-08-28 12:00,2018-08-28 12:10,15,0.5707,0.0,0.3995,0.05,-0.03
118,1,2018-08-28 13:00,2018-08-28 13:40,45,0.5855,0.0,0.4098,0.05,-0.03
119,1,2018-08-28 16:25,2018-08-28 16:35,15,0.3986,0.0,0.279,0.05,-0.03
120,1,2018-08-28 17:50,2018-08-28 18:00,15,0.2712,0.0,0.1898,0.05,-0.03
121,1,2018-08-29 07:05,2018-08-29 07:25,25,0.0963,0.0,0.0674,0.05,-0.03
122,1,2018-08-29 08:10,2018-08-29 08:50,45,0.2277,0.0,0.1594,0.05,-0.03
123,1,2018-08-29 09:40,2018-08-29 10:35,60,0.4586,0.0,0.321,0.05,-0.03
124,1,2018-08-29 12:35,2018-08-29 12:45,15,0.6307,0.0,0.4415,0.05,-0.03
125,1,2018-08-29 14:40,2018-08-29 14:50,15,0.556,0.0,0.3892,0.05,-0.03
126,1,2018-08-29 15:30,2018-08-29 15:40,15,0.4892,0.0,0.3424,0.05,-0.03
127,1,2018-08-29 16:20,2018-08-29 17:00,45,0.3839,0.0,0.2687,0.05,-0.03
128,1,2018-08-31 08:45,2018-08-31 08:55,15,0.2482,0.0,0.1737,0.05,-0.03
129,1,2018-08-31 10:50,2018-08-31 11:05,20,0.5255,0.0,0.3678,0.05,-0.03
130,1,2018-08-31 13:10,2018-08-31 13:20,15,0.5964,0.0,0.4175,0.05,-0.03
131,1,2018-08-31 14:00,2018-08-31 14:10,15,0.5637,0.0,0.3946,0.05,-0.03
132,1,2018-08-31 15:40,2018-08-31 17:55,140,0.4382,0.0,0.3067,0.05,-0.03
133,1,2018-09-03 13:15,2018-09-03 13:25,15,0.1242,0.0,0.0869,0.05,-0.03
134,1,2018-09-19 12:20,2018-09-19 12:30,15,0.6702,0.0,0.4691,0.05,-0.03
